Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
0;91,6039;89,4288;81,7584;67,48913;74,9123;88,408;78,74099;78,1154;75,94333;75,6308;73,19361;69,54579;71,09543;101,52339;89,65253;149,7021;102,09282;222,70987;79,688;71,42336;67,27631;67,71451;77,19468;78,93816;71,80393;69,81713;68,73453;77,79929;64,51134;98,983;96,3942;106,97597;162,78345;92,62846;80,22661;187,23737;87,15137;68,37184;99,78731;98,3329
0,07;91,4686;89,2651;81,8154;67,1207;74,8366;88,8751;78,71054;78,5998;75,5517;75,5984;72,93127;69,47314;70,46866;101,75625;89,40762;149,3242;101,54493;222,07866;79,27081;71,33617;66,97937;67,59844;76,84425;78,76145;71,83263;69,77122;69,10136;77,82361;64,91634;98,2855;95,8874;107,1297;161,96741;92,7386;79,47478;187,87668;86,31131;68,32975;98,90765;97,1225
0,1409984;92,4492;89,1675;81,4095;66,97239;74,9243;88,8405;78,40239;78,7597;75,65773;75,5617;72,60181;69,63717;70,68887;101,50911;88,98529;148,6609;101,1954;221,53583;79,02937;71,16724;67,32275;67,51014;76,84521;78,58078;71,85122;69,68505;69,1018;77,64413;64,53589;98,1369;96,084;106,24046;161,67316;92,33842;79,25069;187,43932;86,21584;68,24064;98,7888;96,7003
0,212;92,9853;88,8565;80,8224;66,85512;74,3153;88,6778;78,27943;78,7759;75,19175;75,2274;72,65279;69,8296;71,1118;101,10018;88,85937;147,3003;101,33823;221,51961;78,82742;71,08072;67,54101;67,79033;77,01725;78,0467;71,88098;69,67223;68,62475;77,17921;64,45316;98,061;95,6706;105,9164;161,30579;91,89842;79,62634;187,19658;86,35932;67,96691;98,75067;97,0875
0,283;92,5023;88,7025;80,5749;66,74029;74,6035;88,1941;77,85816;77,845;74,98842;74,6187;72,27944;69,92098;71,10277;100,54036;88,21203;146,8473;101,64581;221,43196;78,80735;71,11955;67,38834;67,5117;77,01662;77,85449;71,65462;69,69839;68,2963;77,21992;64,06333;97,7869;96,0298;105,43952;161,42412;91,77842;79,56241;186,46129;86,50085;68,09231;98,83527;97,2747
0,3529984;92,1306;88,2288;80,3976;66,74762;73,9333;87,4418;77,84621;77,1664;74,84785;74,5561;72,02226;69,97527;70,99266;100,60822;88,00909;146,6049;101,83795;221,52609;78,71779;71,07766;67,10746;67,87114;77,26575;77,62712;71,48299;69,57528;68,27656;77,32514;63,91009;97,6624;95,7461;105,57014;161,54596;91,8614;79,92747;186,63004;86,58843;67,83251;98,7672;97,4747
0,424;92,027;88,4838;80,5047;66,7464;73,9599;87,2943;77,59742;76,8065;74,83466;74,5302;72,39109;69,89142;71,1694;100,28161;88,07745;146,6454;101,88655;221,96254;78,75264;71,16247;67,19961;67,50266;76,95489;77,70285;71,34591;69,80764;67,81837;77,31183;63,86161;97,5379;95,867;105,31204;161,66769;91,53432;79,91225;186,48425;86,48725;67,98084;98,69139;97,2238
0,495;92,3266;88,6594;80,3427;66,79501;73,9098;87,1984;77,50183;76,6658;75,06663;74,3907;72,19813;69,86688;71,52343;100,42286;88,38425;146,6901;101,79401;222,10362;78,81263;70,80075;67,19614;67,61935;77,18803;77,83934;71,39267;69,74532;68,04746;77,36354;63,91071;97,7819;95,7126;105,40648;161,51967;91,92763;80,12217;186,51672;86,58775;67,77329;98,83244;97,1975
0,566;91,8765;88,5064;80,3481;66,62546;73,9514;86,9533;77,47408;76,1792;74,92586;73,8153;72,23621;69,73184;71,86674;100,14304;88,18996;146,6211;101,61514;222,17178;78,98775;70,85729;67,25309;67,35851;76,98702;77,53318;71,17854;69,39882;67,66489;77,67973;63,75387;97,5465;95,7157;105,39838;161,36981;91,74251;79,83706;186,60269;86,38345;68,15733;98,62228;97,5107
0,637;92,0105;88,41;80,5539;66,71757;73,78;86,8118;77,47331;76,2297;75,23908;74,0477;72,06422;69,66171;71,46979;100,17214;88,22025;146,9394;101,74428;222,30661;78,74884;70,81573;67,26062;67,39407;77,08341;77,41525;71,38523;69,47243;67,90153;77,5448;63,69242;96,956;94,9647;105,37892;161,61458;91,94102;79,76294;186,04787;86,37556;68,08041;98,63688;97,2786
