Time;ROI
0;43,9067
0,07;42,5034
0,1409984;41,641
0,212;41,2116
0,283;40,6109
0,3529984;40,3535
0,424;40,1107
0,495;40,1407
0,566;39,9119
0,637;39,8908
0,7069984;39,8906
0,778;40,1525
0,849;39,9715
0,9199984;40,0956
0,99;39,9852
1,061;40,0474
1,132;43,2804
1,203;42,5274
1,2729984;41,789
1,344;41,1825
1,415;40,743
1,486;40,4136
1,556;40,1572
1,6269984;39,7954
1,698;39,4974
1,769;39,5781
1,8389984;39,7084
1,91;40,0241
1,981;40,1536
2,052;40,0935
2,122;40,3163
2,1929984;42,8458
2,264;41,8692
2,335;41,3436
2,4049984;41,0067
2,476;40,4675
2,547;40,0614
2,618;39,9424
2,688;39,8507
2,7589984;39,8021
2,83;39,7114
2,901;39,845
2,9709984;39,8368
3,042;39,8824
3,113;39,7021
3,184;39,7392
3,254;42,5781
3,3249984;41,7239
3,396;40,8327
3,467;40,4525
3,5369984;40,0691
3,608;40,001
3,679;39,7745
3,75;39,6681
3,821;39,6744
3,8909984;39,5829
3,962;39,6717
4,033;39,3392
4,1039984;39,1384
4,174;39,0498
4,245;39,3141
4,316;39,4192
4,387;42,1952
4,4569984;41,829
4,528;40,955
4,599;40,4217
4,6699984;39,8351
4,74;39,3905
4,811;38,9378
4,882;38,7342
4,953;38,9751
5,0229984;39,4993
5,094;39,8257
5,165;39,7071
5,236;39,5431
5,306;39,3714
5,3769984;39,3631
5,448;40,7252
5,519;41,883
5,5889984;40,6434
5,66;39,9257
5,731;39,6641
5,802;39,4549
5,872;39,1112
5,9429984;39,1692
6,014;39,2554
6,085;39,6835
6,1549984;39,7146
6,226;39,5262
6,297;39,3729
6,368;39,1214
6,438;39,0786
6,5089984;39,1455
6,58;42,2601
6,651;41,2922
6,7219984;40,621
6,792;40,4301
6,863;39,9361
6,934;39,3226
7,005;38,908
7,0749984;38,8108
7,146;39,0089
7,217;39,1098
7,2879984;39,2426
7,358;39,0529
7,429;38,9095
7,5;38,784
7,571;38,7965
7,6409984;38,8315
7,712;42,4525
7,783;41,6487
7,8539984;40,8232
7,924;40,3382
7,995;39,9397
8,066;39,2715
8,137;38,8189
8,2069984;38,4569
8,278;38,2834
8,349;38,5108
8,4199984;38,7402
8,49;38,896
8,561;39,0955
8,632;39,2516
8,703;39,3501
8,7729984;41,5772
8,844;41,6187
8,915;40,7293
8,986;40,0121
9,056;39,5235
9,1269984;39,2168
9,198;39,1166
9,269;39,0557
9,3389984;39,0322
9,41;38,998
9,481;38,8244
9,552;38,7575
9,622;38,7238
