Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
0;32,8298;31,6917;34,4945;31,7547;37,6566;51,3669;43,4523;51,0517;61,8442;48,9134;35,6363;122,5931;58,607;36,4477;46,8832;48,6392;75,0219;63,30587;20,89734;96,9782;18,71838;23,64493;76,6516;88,4591;28,331;67,5422;13,68929;91,267;47,5662;74,5652;79,5251;23,48524;44,41503;22,41135;21,11277;63,8413;25,27472;18,02758;29,41436;29,74644
0,07;31,1197;30,4552;31,2317;30,7633;32,2742;44,76;38,3889;45,4044;55,6591;42,9059;32,617;122,1331;57,7137;35,4675;46,6569;47,9706;73,7554;62,09863;20,04288;100,1676;18,44145;22,17816;77,1624;89,8756;26,6174;67,8364;13,97228;88,839;47,7179;73,3199;78,4438;22,62605;43,37805;21,67181;20,28683;63,2388;24,50394;17,1939;28,14701;28,46041
0,1409984;29,3;28,7022;29,1272;29,5204;30,1624;39,3596;33,7146;40,8846;50,3299;38,4685;29,778;122,3447;58,1451;34,4357;46,1341;48,295;74,6228;61,22597;20,30418;99,579;19,03335;21,82028;76,6684;88,6244;26,7253;68,9951;14,21978;88,522;46,5909;73,2387;78,5431;22,96774;42,76122;21,34753;20,26883;62,612;24,47628;17,11147;27,68722;27,9605
0,212;29,0569;27,5253;26,0617;28,0662;27,9524;36,2724;30,6124;36,2859;45,6013;34,5065;26,9313;122,0647;57,7233;34,8116;46,2415;48,6368;74,6909;62,30986;20,28918;100,3232;19,14563;21,66583;76,4331;85,831;27,2561;73,4452;13,97028;88,1334;46,9631;73,6277;78,4642;22,86403;43,25588;21,35349;20,18796;63,3609;24,62844;17,22148;28,08177;28,2532
0,283;27,4943;26,9338;24,561;28,2108;25,3183;33,5186;27,4222;32,1388;40,9811;31,5798;24,8099;122,1018;57,0723;34,4068;46,1913;48,726;74,7112;62,46043;20,86692;103,2841;18,81806;20,22777;77,3085;83,8898;26,5016;77,3265;14,03615;89,5317;45,9834;73,5688;77,2725;22,91314;43,27394;22,328;20,19034;61,4046;24,4573;17,25951;27,93104;28,00162
0,3529984;26,1997;26,4824;23,4092;26,9357;23,6155;31,5321;25,9281;27,5179;37,8056;28,3819;23,8454;122,0023;57,2767;34,2346;46,6279;49,153;75,344;62,13833;21,00084;101,86;18,43207;21,10016;77,7368;82,5878;27,4378;78,0685;14,002;91,9816;45,0564;74,2957;78,0079;23,03305;43,6553;22,736;20,47425;61,77;24,50692;17,55588;28,61364;28,30803
0,424;26,3468;26,3494;22,8992;26,7051;22,4867;31,0599;24,9607;25,9129;39,2559;28,0502;22,5679;122,971;57,0813;33,7962;46,9862;48,2152;75,8522;62,09938;21,0676;98,6577;18,20417;20,68112;76,9536;84,8776;26,8613;77,6989;14,0845;95,0184;44,7778;74,8606;77,446;22,89838;43,21152;21,84726;20,48696;62,117;24,32034;17,57881;28,23741;28,38954
0,495;25,8099;26,1386;23,1929;26,9971;22,1308;29,7918;24,2767;24,5081;41,8708;28,5788;21,3243;121,9809;56,734;34,0664;47,6954;48,4113;75,258;62,92634;21,33376;92,2364;17,72394;21,04899;76,0595;88,6423;25,6158;78,753;13,61366;96,4764;44,706;74,6351;77,2746;23,11089;43,53869;22,26214;20,54917;62,2559;24,63199;17,582;28,56166;28,55383
0,566;25,8753;25,3521;22,9686;26,1087;22,3729;29,2755;24,3887;23,9513;43,6551;28,9598;21,7477;123,3843;58,0937;33,9502;45,6919;48,208;75,034;61,95406;21,04056;88,486;18,04113;22,68861;75,9406;87,1084;26,4017;76,5617;13,60523;95,0906;44,4164;72,8901;78,4435;23,40321;43,81157;21,79721;20,62581;61,4938;24,38025;17,5312;28,84942;28,28819
0,637;25,0944;26,0279;22,4123;26,5546;21,4466;29,4772;24,9202;23,6767;46,3697;29,5869;21,2865;123,164;57,6815;34,1371;46,8511;48,8124;75,5641;62,40924;20,9417;90,4843;18,55966;23,67426;75,8079;84,1219;25,5855;72,1623;13,64604;94,7529;43,8055;71,5564;77,8478;23,31531;44,02544;21,84465;20,3685;62,4444;24,45124;17,12017;28,33378;28,46907
